URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.09,0.162,-0.9925,0.32282828282828285,20.0,20.0,8.0,20.0,192,960,1.7447916666666667,5,5.101041666666666
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.095,0.04,0.7184,0.46657873376623377,18.6,12.903225806451612,6.300645161290323,18.6,24,186,1.4946236559139785,10,4.478494623655914
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.151,0.175,-0.967,0.4336991812535289,21.245283018867923,16.962699822380106,7.641596568249605,21.245283018867923,191,1126,1.6154529307282415,71,4.762877442273535
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.042,0.166,-0.9861,0.44588686507291153,18.74074074074074,18.972332015810274,7.542614551310203,18.74074074074074,96,506,1.6857707509881423,11,5.065217391304348
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.111,0.199,-0.9955,0.39616334723477564,23.06122448979592,22.831858407079647,9.178616579375115,23.06122448979592,258,1130,1.7734513274336283,5,5.247787610619469
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.113,0.187,-0.9899,0.44763448760541785,29.756756756756758,13.805631244323344,8.71247760021602,29.756756756756758,152,1101,1.524977293369664,32,4.638510445049954
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.036,0.0,0.4939,0.3482142857142857,34.25,18.248175182481752,10.49963503649635,34.25,25,137,1.7518248175182483,2,5.313868613138686
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.163,0.053,0.9776,0.4177597402597401,19.571428571428573,12.956204379562045,6.505526590198125,19.571428571428573,71,548,1.5583941605839415,11,4.740875912408759
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.138,0.198,-0.9893,0.42901622609069406,31.666666666666668,19.894736842105264,10.312280701754387,31.666666666666668,189,950,1.7105263157894737,11,5.108421052631579
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.189,0.153,0.8779,0.5432453416149068,24.633333333333333,8.795669824086604,6.685800631483987,24.633333333333333,65,739,1.4005412719891746,48,4.181326116373477
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.047,0.172,-0.9971,0.3337604779739612,22.319148936170212,18.875119161105815,8.238853619455204,22.319148936170212,198,1049,1.6863679694947569,2,5.098188751191611
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.077,0.199,-0.9967,0.4712999745352686,19.823529411764707,20.375865479723046,8.039878978297551,19.823529411764707,206,1011,1.7270029673590503,19,5.243323442136498
